iter	Logloss	Accuracy
229	0.496583177	0.7602344641
230	0.4965649294	0.7602116918
231	0.4965459189	0.7601684243
232	0.4965207076	0.7602276324
233	0.4965058148	0.7602253552
234	0.4964865506	0.7601866422
235	0.4964680509	0.7602708999
236	0.4964440763	0.760175256
237	0.4964209586	0.7601980284
238	0.4963949778	0.7601593154
239	0.4963784749	0.7602025828
240	0.4963609632	0.7602208007
241	0.4963339896	0.7602390186
242	0.4963206166	0.7602595137
243	0.496300969	0.7603187218
244	0.4962823571	0.7603779299
245	0.4962604898	0.7602708999
246	0.4962492831	0.7603915934
247	0.4962317453	0.7602936722
248	0.4962115429	0.7603346625
249	0.4961899293	0.7602959495
250	0.4961748523	0.7602800088
251	0.4961447622	0.760368821
252	0.4961260113	0.7603642665
253	0.4961076173	0.7603824844
254	0.4960950061	0.7603938706
255	0.4960732588	0.7604553559
256	0.496050344	0.7605737722
257	0.4960327518	0.7605646632
258	0.4960151383	0.7606147624
259	0.4959934915	0.7606466437
260	0.4959804509	0.7605714949
261	0.4959637856	0.7605806039
262	0.495948113	0.7606147624
263	0.495934221	0.7605669405
264	0.4959231029	0.7605806039
265	0.4959088962	0.7606534754
266	0.4958978853	0.7606853567
267	0.4958796771	0.7606534754
268	0.4958634282	0.7607035746
269	0.4958458167	0.7606420892
270	0.4958315686	0.7607012973
271	0.4958178865	0.7607126835
272	0.4958039805	0.7606830795
273	0.4957777602	0.7608219908
274	0.4957545478	0.7609381298
275	0.4957379962	0.7608834762
276	0.4957168502	0.760862981
277	0.4956997701	0.7608675355
278	0.4956879349	0.7608925851
279	0.4956699335	0.7608903079
280	0.495654124	0.7608925851
281	0.4956398476	0.7608880306
282	0.4956272093	0.7608538721
283	0.495608906	0.7608698127
284	0.4955998759	0.7608925851
285	0.4955783079	0.7608971396
286	0.4955566002	0.7609176347
287	0.4955413563	0.7609722883
288	0.4955196423	0.7609586249
289	0.4955092416	0.7609768428
290	0.4954973256	0.760988229
291	0.4954839202	0.7609677339
292	0.4954636426	0.7609540704
293	0.4954465282	0.7609654566
294	0.4954254585	0.7610246647
295	0.4954107389	0.7610770411
296	0.4953906694	0.7610815956
297	0.495375129	0.7610383281
298	0.4953654143	0.7610201103
299	0.495355227	0.7610588233
300	0.4953316343	0.761026942
301	0.4953141791	0.7610314964
302	0.4952948597	0.7611066452
303	0.4952798625	0.7611180314
304	0.4952662099	0.7610633777
305	0.4952513703	0.7611111997
306	0.4952325485	0.7611271403
307	0.4952190017	0.7611089224
308	0.4952078643	0.7611271403
309	0.495197648	0.7611499127
310	0.4951836141	0.7610451599
311	0.495171007	0.7610428826
312	0.4951531978	0.7610884273
313	0.4951394392	0.7610633777
314	0.4951172162	0.7610679322
315	0.4950955892	0.7610588233
316	0.4950778438	0.7610929818
317	0.4950643867	0.7610747639
318	0.4950510482	0.7610861501
319	0.4950397433	0.7610975363
320	0.4950241007	0.7611294176
321	0.4950102289	0.7611408037
322	0.4950013516	0.7611316948
323	0.4949880991	0.7611294176
324	0.4949685212	0.7611521899
325	0.4949552197	0.7611408037
326	0.494943807	0.7611795167
327	0.4949292502	0.761172685
328	0.4949149405	0.7611772395
329	0.4949002356	0.761211398
330	0.4948843281	0.7611704078
331	0.4948698701	0.7611772395
332	0.4948583925	0.7612159525
333	0.4948462686	0.7612022891
334	0.4948354993	0.7612387248
335	0.4948194749	0.7612660517
336	0.4948013861	0.7612569427
337	0.4947911371	0.7613457549
338	0.4947738049	0.761250111
339	0.4947571443	0.7612182297
340	0.4947466797	0.7612637744
341	0.4947286178	0.761250111
342	0.4947109086	0.7612068435
343	0.4947008451	0.7612091208
344	0.4946883975	0.7611795167
345	0.49467608	0.7612296159
