iter	Logloss	Accuracy
196	0.4931667324	0.7618330832
197	0.4931638857	0.7617875385
198	0.4931559173	0.7618080336
199	0.4931516457	0.7617898157
200	0.4931136846	0.7616213003
201	0.4930975471	0.7618057564
202	0.4930728157	0.7617807068
203	0.4930478628	0.761714667
204	0.493025494	0.7617488255
205	0.492995965	0.7618581328
206	0.4929731844	0.7618922913
207	0.4929548768	0.7617715979
208	0.4929409207	0.7618490239
209	0.4929368685	0.7618513011
210	0.4929207658	0.7618330832
211	0.4929126713	0.7618285287
212	0.4929073528	0.7618239743
213	0.4929013406	0.7618376377
214	0.4928863604	0.7618399149
215	0.4928845959	0.7618421922
216	0.4928845814	0.7618421922
217	0.4928673171	0.761869519
218	0.4928310906	0.7618558556
219	0.4928310863	0.7618581328
220	0.4928048742	0.7618353605
221	0.4927900733	0.7618103109
222	0.4927897504	0.7618080336
223	0.4927670518	0.7619310043
224	0.4927419375	0.7619332816
225	0.4927242486	0.7618922913
226	0.4927173972	0.7617397166
227	0.4927130763	0.7617579345
228	0.4927119042	0.7617579345
229	0.492711894	0.7617579345
230	0.4926860679	0.7617647662
231	0.492677773	0.7617966475
232	0.4926719453	0.7618171426
233	0.4926705831	0.7618285287
234	0.4926695626	0.7618103109
235	0.4926694135	0.7618103109
236	0.4926350646	0.7619947669
237	0.4926330024	0.7619355588
238	0.4926313973	0.7619196182
239	0.4926056251	0.7619993214
240	0.4926016595	0.761976549
241	0.4925893555	0.761976549
242	0.4925867757	0.7619287271
243	0.4925736793	0.7619310043
244	0.4925687862	0.7619583312
245	0.4925673535	0.7619560539
246	0.4925436323	0.7620380344
247	0.4925406622	0.7620425889
248	0.4924995709	0.7620881336
249	0.4924890461	0.7620334799
250	0.4924866418	0.7620289254
251	0.4924320889	0.7620334799
252	0.4924292128	0.7620403116
253	0.4924266403	0.7621063514
254	0.4923853211	0.7621815002
255	0.4923831692	0.7621564506
256	0.4923624963	0.7622520945
257	0.4923476803	0.762286253
258	0.4923476775	0.762286253
259	0.4923210601	0.7622839758
260	0.4923188807	0.7622042725
261	0.4922892919	0.7623090254
262	0.4922735116	0.7623591245
263	0.4922626769	0.7623955603
